array_index	canonical_run_id	dataset	runner_model_value	model_slug	condition_value	condition_slug	target_value	target_slug	split_index	split_seed	init_seed	output_dir
0	eaip__dmpnn__ea__split00_seed42__init42	eaip	dmpnn	dmpnn			EA vs SHE (eV)	ea	0	42	42	results/year2_corrected_final_2026/eaip/eaip__dmpnn__ea__split00_seed42__init42
1	eaip__dmpnn__ea__split01_seed43__init42	eaip	dmpnn	dmpnn			EA vs SHE (eV)	ea	1	43	42	results/year2_corrected_final_2026/eaip/eaip__dmpnn__ea__split01_seed43__init42
2	eaip__dmpnn__ea__split02_seed44__init42	eaip	dmpnn	dmpnn			EA vs SHE (eV)	ea	2	44	42	results/year2_corrected_final_2026/eaip/eaip__dmpnn__ea__split02_seed44__init42
3	eaip__dmpnn__ea__split03_seed45__init42	eaip	dmpnn	dmpnn			EA vs SHE (eV)	ea	3	45	42	results/year2_corrected_final_2026/eaip/eaip__dmpnn__ea__split03_seed45__init42
4	eaip__dmpnn__ea__split04_seed46__init42	eaip	dmpnn	dmpnn			EA vs SHE (eV)	ea	4	46	42	results/year2_corrected_final_2026/eaip/eaip__dmpnn__ea__split04_seed46__init42
5	eaip__dmpnn__ip__split00_seed42__init42	eaip	dmpnn	dmpnn			IP vs SHE (eV)	ip	0	42	42	results/year2_corrected_final_2026/eaip/eaip__dmpnn__ip__split00_seed42__init42
6	eaip__dmpnn__ip__split01_seed43__init42	eaip	dmpnn	dmpnn			IP vs SHE (eV)	ip	1	43	42	results/year2_corrected_final_2026/eaip/eaip__dmpnn__ip__split01_seed43__init42
7	eaip__dmpnn__ip__split02_seed44__init42	eaip	dmpnn	dmpnn			IP vs SHE (eV)	ip	2	44	42	results/year2_corrected_final_2026/eaip/eaip__dmpnn__ip__split02_seed44__init42
8	eaip__dmpnn__ip__split03_seed45__init42	eaip	dmpnn	dmpnn			IP vs SHE (eV)	ip	3	45	42	results/year2_corrected_final_2026/eaip/eaip__dmpnn__ip__split03_seed45__init42
9	eaip__dmpnn__ip__split04_seed46__init42	eaip	dmpnn	dmpnn			IP vs SHE (eV)	ip	4	46	42	results/year2_corrected_final_2026/eaip/eaip__dmpnn__ip__split04_seed46__init42
10	eaip__gin__ea__split00_seed42__init42	eaip	gin	gin			EA vs SHE (eV)	ea	0	42	42	results/year2_corrected_final_2026/eaip/eaip__gin__ea__split00_seed42__init42
